Unnamed: 0,Sentence,question,correct_answer,false_answer,model_question,bert_question,num_of_masks,false_answer_score,correct_mask_1_score
0,The banker that the barber praised climbed the mountain just outside of town before it snowed.,who climbed the mountain?,banker,barber,"The banker that the barber praised climbed the mountain just outside of town before it snowed. Therefore, the mountain was climbed by the ",,1,1.1673548669932643e-06,5.906057936044817e-07
1,The banker that you praised climbed the mountain just outside of town before it snowed.,who climbed the mountain?,banker,you,"The banker that you praised climbed the mountain just outside of town before it snowed. Therefore, the mountain was climbed by ",,2,2.796561057039071e-05,2.4498240236425772e-06
2,The banker that Sue praised climbed the mountain just outside of town before it snowed.,who climbed the mountain?,banker,Sue,"The banker that Sue praised climbed the mountain just outside of town before it snowed. Therefore, the mountain was climbed by ",,2,2.0930007949004903e-08,1.0382688060417422e-06
3,The banker that praised the barber climbed the mountain just outside of town before it snowed.,who climbed the mountain?,banker,barber,"The banker that praised the barber climbed the mountain just outside of town before it snowed. Therefore, the mountain was climbed by the ",,1,1.6909690430111368e-06,5.00592705066083e-07
4,The banker that praised you climbed the mountain just outside of town before it snowed.,who climbed the mountain?,banker,you,"The banker that praised you climbed the mountain just outside of town before it snowed. Therefore, the mountain was climbed by ",,2,2.605033660074696e-05,2.393027671132586e-06
5,The banker that praised Sue climbed the mountain just outside of town before it snowed.,who climbed the mountain?,banker,Sue,"The banker that praised Sue climbed the mountain just outside of town before it snowed. Therefore, the mountain was climbed by ",,2,2.259660902836913e-08,1.6823697706058738e-06
6,The dancer that the reporter phoned cooked the pork chops in their own juices on New Year's Eve.,who coocked the pork chops?,dancer,reporter,"The dancer that the reporter phoned cooked the pork chops in their own juices on New Year's Eve. Therefore, the porkchops were coocked by the ",,1,3.158908157274709e-08,6.71029454224481e-07
7,The dancer that you phoned cooked the pork chops in their own juices on New Year's Eve.,who coocked the pork chops?,dancer,you,"The dancer that you phoned cooked the pork chops in their own juices on New Year's Eve. Therefore, the porkchops were coocked by ",,2,1.9836803403450176e-05,5.2186833272571675e-06
8,The dancer that Ann phoned cooked the pork chops in their own juices on New Year's Eve.,who coocked the pork chops?,dancer,Ann,"The dancer that Ann phoned cooked the pork chops in their own juices on New Year's Eve. Therefore, the porkchops were coocked by ",,2,3.654055490187602e-06,4.0895079109759536e-06
9,The dancer that phoned the reporter cooked the pork chops in their own juices on New Year's Eve.,who coocked the pork chops?,dancer,reporter,"The dancer that phoned the reporter cooked the pork chops in their own juices on New Year's Eve. Therefore, the porkchops were coocked by the ",,1,2.3294646211979853e-08,2.2332925198043085e-07
10,The dancer that phoned you cooked the pork chops in their own juices on New Year's Eve.,who coocked the pork chops?,dancer,you,"The dancer that phoned you cooked the pork chops in their own juices on New Year's Eve. Therefore, the porkchops were coocked by ",,2,1.6454967408208176e-05,5.019802756578429e-06
11,The dancer that phoned Ann cooked the pork chops in their own juices on New Year's Eve.,who coocked the pork chops?,dancer,Ann,"The dancer that phoned Ann cooked the pork chops in their own juices on New Year's Eve. Therefore, the porkchops were coocked by ",,2,1.0512222843317431e-06,3.944074705941603e-06
12,The architect that the officer liked dominated the conversation while the game was on television.,who dominated the conversation?,architect,officer,"The architect that the officer liked dominated the conversation while the game was on television. Therefore, the conversation was dominated by the ",,1,1.5586510926368646e-07,6.421172482617976e-09
13,The architect that you liked dominated the conversation while the game was on television.,who dominated the conversation?,architect,you,"The architect that you liked dominated the conversation while the game was on television. Therefore, the conversation was dominated by ",,2,4.038061888422817e-05,6.209310413396452e-06
14,The architect that Wes liked dominated the conversation while the game was on television.,who dominated the conversation?,architect,Wes,"The architect that Wes liked dominated the conversation while the game was on television. Therefore, the conversation was dominated by ",,2,8.947650798063478e-08,1.633910756027035e-06
15,The architect that liked the officer dominated the conversation while the game was on television.,who dominated the conversation?,architect,officer,"The architect that liked the officer dominated the conversation while the game was on television. Therefore, the conversation was dominated by the ",,1,6.361454438774672e-07,2.1346798106947062e-08
16,The architect that liked you dominated the conversation while the game was on television.,who dominated the conversation?,architect,you,"The architect that liked you dominated the conversation while the game was on television. Therefore, the conversation was dominated by ",,2,3.6784836993319914e-05,4.7621251724194735e-06
17,The architect that liked Wes dominated the conversation while the game was on television.,who dominated the conversation?,architect,Wes,"The architect that liked Wes dominated the conversation while the game was on television. Therefore, the conversation was dominated by ",,2,2.1673673700206564e-07,1.4652595154984738e-06
18,The waiter that the broker despised drove the sports car home from work that evening.,who drove the sports car home?,waiter,broker,"The waiter that the broker despised drove the sports car home from work that evening. Therefore, the sports car was driven by the ",,1,8.628856562609144e-07,4.2293781916669104e-06
19,The waiter that you despised drove the sports car home from work that evening.,who drove the sports car home?,waiter,you,"The waiter that you despised drove the sports car home from work that evening. Therefore, the sports car was driven by ",,2,0.00012475589755922556,6.706762633257313e-06
20,The waiter that Jan despised drove the sports car home from work that evening.,who drove the sports car home?,waiter,Jan,"The waiter that Jan despised drove the sports car home from work that evening. Therefore, the sports car was driven by ",,2,5.899889856664231e-06,2.040235131062218e-06
21,The waiter that despised the broker drove the sports car home from work that evening.,who drove the sports car home?,waiter,broker,"The waiter that despised the broker drove the sports car home from work that evening. Therefore, the sports car was driven by the ",,1,1.3855219549441244e-06,3.846529125439702e-06
22,The waiter that despised you drove the sports car home from work that evening.,who drove the sports car home?,waiter,you,"The waiter that despised you drove the sports car home from work that evening. Therefore, the sports car was driven by ",,2,6.426429899875075e-05,5.306873845256632e-06
23,The waiter that despised Jan drove the sports car home from work that evening.,who drove the sports car home?,waiter,Jan,"The waiter that despised Jan drove the sports car home from work that evening. Therefore, the sports car was driven by ",,2,7.143778930185363e-06,3.054180751860258e-06
