,Unnamed: 0,Sentence,question,correct_answer,false_answer,model_question,bert_question,num_of_masks,false_answer_score,correct_mask_1_score,animacy_state
0,0,The banker that the barber praised climbed the mountain just outside of town before it snowed.,who climbed the mountain?,banker,barber,"The banker that the barber praised climbed the mountain just outside of town before it snowed. Therefore, the mountain was climbed by the ",,1,2.7472256988403387e-05,2.898563479902805e-06,both_animate
1,1,The banker that you praised climbed the mountain just outside of town before it snowed.,who climbed the mountain?,banker,you,"The banker that you praised climbed the mountain just outside of town before it snowed. Therefore, the mountain was climbed by ",,2,3.538090822985396e-06,3.5772354749497026e-05,both_animate
3,3,The banker that praised the barber climbed the mountain just outside of town before it snowed.,who climbed the mountain?,banker,barber,"The banker that praised the barber climbed the mountain just outside of town before it snowed. Therefore, the mountain was climbed by the ",,1,2.574994505266659e-05,3.114725814157282e-06,both_animate
4,4,The banker that praised you climbed the mountain just outside of town before it snowed.,who climbed the mountain?,banker,you,"The banker that praised you climbed the mountain just outside of town before it snowed. Therefore, the mountain was climbed by ",,2,3.547243522916688e-06,3.702720277942717e-05,both_animate
5,5,The banker that praised Sue climbed the mountain just outside of town before it snowed.,who climbed the mountain?,banker,Sue,"The banker that praised Sue climbed the mountain just outside of town before it snowed. Therefore, the mountain was climbed by ",,2,2.0825109459110536e-06,3.2315139833372086e-05,both_animate
6,6,The dancer that the reporter phoned cooked the pork chops in their own juices on New Year's Eve.,who coocked the pork chops?,dancer,reporter,"The dancer that the reporter phoned cooked the pork chops in their own juices on New Year's Eve. Therefore, the porkchops were coocked by the ",,1,8.444430568488315e-05,9.74154659161286e-07,both_animate
7,7,The dancer that you phoned cooked the pork chops in their own juices on New Year's Eve.,who coocked the pork chops?,dancer,you,"The dancer that you phoned cooked the pork chops in their own juices on New Year's Eve. Therefore, the porkchops were coocked by ",,2,7.933024789963383e-06,4.236451422912069e-05,both_animate
8,8,The dancer that Ann phoned cooked the pork chops in their own juices on New Year's Eve.,who coocked the pork chops?,dancer,Ann,"The dancer that Ann phoned cooked the pork chops in their own juices on New Year's Eve. Therefore, the porkchops were coocked by ",,2,6.742813525306701e-07,4.789297599927522e-05,both_animate
9,9,The dancer that phoned the reporter cooked the pork chops in their own juices on New Year's Eve.,who coocked the pork chops?,dancer,reporter,"The dancer that phoned the reporter cooked the pork chops in their own juices on New Year's Eve. Therefore, the porkchops were coocked by the ",,1,8.384641841985285e-05,9.446103490518e-07,both_animate
10,10,The dancer that phoned you cooked the pork chops in their own juices on New Year's Eve.,who coocked the pork chops?,dancer,you,"The dancer that phoned you cooked the pork chops in their own juices on New Year's Eve. Therefore, the porkchops were coocked by ",,2,6.869329808978364e-06,4.316243212088011e-05,both_animate
11,11,The dancer that phoned Ann cooked the pork chops in their own juices on New Year's Eve.,who coocked the pork chops?,dancer,Ann,"The dancer that phoned Ann cooked the pork chops in their own juices on New Year's Eve. Therefore, the porkchops were coocked by ",,2,6.881657554913545e-07,3.9721198845654726e-05,both_animate
12,12,The architect that the officer liked dominated the conversation while the game was on television.,who dominated the conversation?,architect,officer,"The architect that the officer liked dominated the conversation while the game was on television. Therefore, the conversation was dominated by the ",,1,2.062134171865182e-06,1.1865539818245452e-05,both_animate
13,13,The architect that you liked dominated the conversation while the game was on television.,who dominated the conversation?,architect,you,"The architect that you liked dominated the conversation while the game was on television. Therefore, the conversation was dominated by ",,2,4.735496077046264e-06,1.5924302715575323e-05,both_animate
14,14,The architect that Wes liked dominated the conversation while the game was on television.,who dominated the conversation?,architect,Wes,"The architect that Wes liked dominated the conversation while the game was on television. Therefore, the conversation was dominated by ",,2,1.8137568986276165e-05,1.7251208191737533e-05,both_animate
15,15,The architect that liked the officer dominated the conversation while the game was on television.,who dominated the conversation?,architect,officer,"The architect that liked the officer dominated the conversation while the game was on television. Therefore, the conversation was dominated by the ",,1,1.9697140487551223e-06,1.1715772416209802e-05,both_animate
16,16,The architect that liked you dominated the conversation while the game was on television.,who dominated the conversation?,architect,you,"The architect that liked you dominated the conversation while the game was on television. Therefore, the conversation was dominated by ",,2,4.89714739160263e-06,1.80973693204578e-05,both_animate
17,17,The architect that liked Wes dominated the conversation while the game was on television.,who dominated the conversation?,architect,Wes,"The architect that liked Wes dominated the conversation while the game was on television. Therefore, the conversation was dominated by ",,2,1.9409262677072547e-05,1.828239874157589e-05,both_animate
18,18,The waiter that the broker despised drove the sports car home from work that evening.,who drove the sports car home?,waiter,broker,"The waiter that the broker despised drove the sports car home from work that evening. Therefore, the sports car was driven by the ",,1,3.601021774102265e-07,5.466312813950935e-06,both_animate
19,19,The waiter that you despised drove the sports car home from work that evening.,who drove the sports car home?,waiter,you,"The waiter that you despised drove the sports car home from work that evening. Therefore, the sports car was driven by ",,2,4.553101916826563e-06,3.389516132301651e-05,both_animate
20,20,The waiter that Jan despised drove the sports car home from work that evening.,who drove the sports car home?,waiter,Jan,"The waiter that Jan despised drove the sports car home from work that evening. Therefore, the sports car was driven by ",,2,1.2531194215625874e-06,4.127415013499558e-05,both_animate
21,21,The waiter that despised the broker drove the sports car home from work that evening.,who drove the sports car home?,waiter,broker,"The waiter that despised the broker drove the sports car home from work that evening. Therefore, the sports car was driven by the ",,1,3.132884955903137e-07,4.892363449471304e-06,both_animate
22,22,The waiter that despised you drove the sports car home from work that evening.,who drove the sports car home?,waiter,you,"The waiter that despised you drove the sports car home from work that evening. Therefore, the sports car was driven by ",,2,5.073018655821215e-06,3.60806479875464e-05,both_animate
23,23,The waiter that despised Jan drove the sports car home from work that evening.,who drove the sports car home?,waiter,Jan,"The waiter that despised Jan drove the sports car home from work that evening. Therefore, the sports car was driven by ",,2,1.129861061599513e-06,3.516098149702884e-05,both_animate
24,24,The detective that the secretary disliked clipped the coupons out with the dull scissors.,who clipped the coupons out?,detective,secretary,"The detective that the secretary disliked clipped the coupons out with the dull scissors. Therefore, the coupons were clipped out by the ",,1,4.581590644647804e-07,1.0573943427516497e-06,both_animate
25,25,The detective that you disliked clipped the coupons out with the dull scissors.,who clipped the coupons out?,detective,you,"The detective that you disliked clipped the coupons out with the dull scissors. Therefore, the coupons were clipped out by ",,2,3.700298293551896e-06,2.646761276992038e-05,both_animate
26,26,The detective that Ted disliked clipped the coupons out with the dull scissors.,who clipped the coupons out?,detective,Ted,"The detective that Ted disliked clipped the coupons out with the dull scissors. Therefore, the coupons were clipped out by ",,2,9.80110689852154e-06,2.211516766692512e-05,both_animate
27,27,The detective that disliked the secretary clipped the coupons out with the dull scissors.,who clipped the coupons out?,detective,secretary,"The detective that disliked the secretary clipped the coupons out with the dull scissors. Therefore, the coupons were clipped out by the ",,1,4.637290089704038e-07,9.898886901282822e-07,both_animate
28,28,The detective that disliked you clipped the coupons out with the dull scissors.,who clipped the coupons out?,detective,you,"The detective that disliked you clipped the coupons out with the dull scissors. Therefore, the coupons were clipped out by ",,2,4.089517915417673e-06,3.501329047139734e-05,both_animate
29,29,The detective that disliked Ted clipped the coupons out with the dull scissors.,who clipped the coupons out?,detective,Ted,"The detective that disliked Ted clipped the coupons out with the dull scissors. Therefore, the coupons were clipped out by ",,2,1.0967809430439956e-05,2.398362812527921e-05,both_animate
30,30,The judge that the doctor ignored watched the special about Colombian drug dealers on the nightly news.,who watched the special about Colombian drug dealers?,judge,doctor,"The judge that the doctor ignored watched the special about Colombian drug dealers on the nightly news. Therefore, the person who watched the show about Colombian drug dealers is the ",,1,2.519463350836304e-06,2.445158770569833e-06,both_animate
31,31,The judge that you ignored watched the special about Colombian drug dealers on the nightly news.,who watched the special about Colombian drug dealers?,judge,you,"The judge that you ignored watched the special about Colombian drug dealers on the nightly news. Therefore, the person who watched the show about Colombian drug dealers is ",,2,6.118663350207498e-06,3.88938351534307e-05,both_animate
32,32,The judge that Tom ignored watched the special about Colombian drug dealers on the nightly news.,who watched the special about Colombian drug dealers?,judge,Tom,"The judge that Tom ignored watched the special about Colombian drug dealers on the nightly news. Therefore, the person who watched the show about Colombian drug dealers is ",,2,2.709484760998748e-06,4.580548193189316e-05,both_animate
33,33,The judge that ignored the doctor watched the special about Colombian drug dealers on the nightly news.,who watched the special about Colombian drug dealers?,judge,doctor,"The judge that ignored the doctor watched the special about Colombian drug dealers on the nightly news. Therefore, the person who watched the show about Colombian drug dealers is the ",,1,2.61238164966926e-06,2.410376055195229e-06,both_animate
34,34,The judge that ignored you watched the special about Colombian drug dealers on the nightly news.,who watched the special about Colombian drug dealers?,judge,you,"The judge that ignored you watched the special about Colombian drug dealers on the nightly news. Therefore, the person who watched the show about Colombian drug dealers is ",,2,6.429945642594248e-06,4.5355558540904894e-05,both_animate
35,35,The judge that ignored Tom watched the special about Colombian drug dealers on the nightly news.,who watched the special about Colombian drug dealers?,judge,Tom,"The judge that ignored Tom watched the special about Colombian drug dealers on the nightly news. Therefore, the person who watched the show about Colombian drug dealers is ",,2,3.010699856531573e-06,4.403661660035141e-05,both_animate
36,36,The robber that the man insulted read the newspaper article about the fire.,who read the newspaper article?,robber,man,"The robber that the man insulted read the newspaper article about the fire. Therefore, the person who read the newspaper article is the ",,1,1.3699400369659998e-05,7.212394393718569e-06,both_animate
37,37,The robber that you insulted read the newspaper article about the fire.,who read the newspaper article?,robber,you,"The robber that you insulted read the newspaper article about the fire. Therefore, the person who read the newspaper article is ",,2,1.2123168744437862e-05,3.4660417441045865e-05,both_animate
38,38,The robber that Sam insulted read the newspaper article about the fire.,who read the newspaper article?,robber,Sam,"The robber that Sam insulted read the newspaper article about the fire. Therefore, the person who read the newspaper article is ",,2,1.7271052001888163e-06,4.293504389352165e-05,both_animate
39,39,The robber that insulted the man read the newspaper article about the fire.,who read the newspaper article?,robber,man,"The robber that insulted the man read the newspaper article about the fire. Therefore, the person who read the newspaper article is the ",,1,1.3583073268819136e-05,7.026967523415806e-06,both_animate
