,Unnamed: 0,Sentence,question,correct_answer,false_answer,model_question,bert_question,num_of_masks,false_answer_score,correct_mask_1_score,animacy_state
145,145,The camera that was in the French director's studio this week hit the expensive vase at the entrance.,What hit the expensive vase?,camera,director,"The camera that was in the French director's studio this week hit the expensive vase at the entrance. Therefore, the expensvie vase was hit by the ",,1,3.763161373626645e-07,1.341314828096074e-06,false_animate
147,147,This is the camera that this week in the French director's studio hit the expensive vase at the entrance.,What hit the expensive vase?,camera,director,"This is the camera that this week in the French director's studio hit the expensive vase at the entrance. Therefore, the expensvie vase was hit by the ",,1,3.84480273396548e-07,1.1495649232529104e-06,false_animate
149,149,The assignment that was yesterday in the class of the lazy practitioner bored the members of the course.,What bored the members of the course?,assignment,practitioner,"The assignment that was yesterday in the class of the lazy practitioner bored the members of the course. Therefore, the members of the course were bored by the ",,1,9.96430480881827e-06,7.588548032799736e-05,false_animate
151,151,This is the assignment that yesterday in the class of the lazy practitioner bored the members of the course.,What bored the members of the course?,assignment,practitioner,"This is the assignment that yesterday in the class of the lazy practitioner bored the members of the course. Therefore, the members of the course were bored by the ",,1,8.79499020811636e-06,5.491079718922265e-05,false_animate
153,153,The cart that was in the young teenager's daycare today rolled over on the lawn.,What rolled around on the lawn?,cart,teenager,"The cart that was in the young teenager's daycare today rolled over on the lawn. Therefore, what that rolled over on the lawn is the ",,1,5.950609192950651e-06,3.721976327142329e-07,false_animate
155,155,This is the cart that today in the young teenager's daycare rolled on the lawn.,What rolled around on the lawn?,cart,teenager,"This is the cart that today in the young teenager's daycare rolled on the lawn. Therefore, what that rolled on the lawn is the ",,1,6.028604275343241e-06,3.767769385376596e-07,false_animate
157,157,The chain that was in the talented goldsmith's shop today excited the spendthrift customer.,What excited the spendthrift customer?,chain,goldsmith,"The chain that was in the talented goldsmith's shop today excited the spendthrift customer. Therefore, the spendthrift customer was excited by the ",,1,3.095101419603452e-05,7.405695896522957e-07,false_animate
159,159,This is the chain that today in the talented goldsmith's shop excited the spendthrift customer.,What excited the spendthrift customer?,chain,goldsmith,"This is the chain that today in the talented goldsmith's shop excited the spendthrift customer. Therefore, the spendthrift customer was excited by the ",,1,2.633857002365403e-05,5.898543804505607e-07,false_animate
161,161,The cake that was at the red-haired comedian's wedding this week amazed all the guests.,What amazed all the guests?,cake,comedian,"The cake that was at the red-haired comedian's wedding this week amazed all the guests. Therefore, the guests were amazed by the ",,1,1.902015924315492e-06,1.0924911748588784e-06,false_animate
163,163,This is the cake that this week at the red-haired comedian's wedding amazed all the guests.,What amazed all the guests?,cake,comedian,"This is the cake that this week at the red-haired comedian's wedding amazed all the guests. Therefore, the guests was amazed by the ",,1,1.9589563180488767e-06,1.281527033825114e-06,false_animate
165,165,The gift that was in the elderly grandmother's house this morning made the curly granddaughter sad.,What made the granddaughter sad?,gift,grandmother,"The gift that was in the elderly grandmother's house this morning made the curly granddaughter sad. Therefore, the granddaughter was made sad by the ",,1,1.2038766726618633e-05,0.0001577333459863,false_animate
167,167,This is the gift who this morning at the elderly grandmother's house saddened her curly granddaughter.,What made the granddaughter sad?,gift,grandmother,"This is the gift who this morning at the elderly grandmother's house saddened her curly granddaughter. Therefore, the granddaughter was saddened by the ",,1,1.7628812202019617e-05,0.0001067812409019,false_animate
169,169,The picture that was in the English singer's room this morning made the members of the band happy.,What made the members of the band happy?,fan,singer,"The picture that was in the English singer's room this morning made the members of the band happy. Therefore, the members of the band were made happy by the ",,1,1.1243785593251232e-05,2.440733908315451e-07,false_animate
171,171,This is the picture that this morning in the room of the English singer made the members of the band happy.,What made the members of the band happy?,fan,singer,"This is the picture that this morning in the room of the English singer made the members of the band happy. Therefore, the members of the band were made happy by the ",,1,7.239976184791885e-06,1.8308065818928299e-07,false_animate
173,173,The result of today's examination by the successful surgeon reassured the worried patient.,What reassured the worried patient?,result,surgeon,"The result of today's examination by the successful surgeon reassured the worried patient. Therefore, the worried patient was reassured by the ",,1,1.3416376532404684e-05,2.007515604418586e-06,false_animate
175,175,This is the result that today during the examination of the successful surgeon calmed down the worried patient.,What calmed down the worried patient?,result,surgeon,"This is the result that today during the examination of the successful surgeon calmed down the worried patient. Therefore, the worried patient was calmed down by the ",,1,7.522733994846931e-06,9.795643336474311e-07,false_animate
177,177,The sign that was in the play of the young playwright this evening confused the spectators who entered.,What confused the spectators?,sign,playwright,"The sign that was in the play of the young playwright this evening confused the spectators who entered. Therefore, the spectators were confused by the ",,1,3.3190433441632194e-06,3.4327811135881348e-06,false_animate
179,179,This is the sign that tonight at the play by the young playwright confused the spectators who came in.,What confused the spectators?,sign,playwright,"This is the sign that tonight at the play by the young playwright confused the spectators who came in. Therefore, the spectators were confused by the ",,1,2.860770109691657e-06,3.66460653822287e-06,false_animate
181,181,The report that was in the office of the chatty minister at noon angered the veteran inspector.,Who angered the supervisor?,report,minister,"The report that was in the office of the chatty minister at noon angered the veteran inspector. Therefore, the veteran supervisor was angered by the ",,1,2.252268359370646e-06,2.559622771514114e-06,false_animate
183,183,This is the report that at noon in the office of the chatty minister angered the veteran inspector.,Who angered the supervisor?,report,minister,"This is the report that at noon in the office of the chatty minister angered the veteran inspector. Therefore, the veteran supervisor was angered by the ",,1,1.5887657127677812e-06,1.7843476598500274e-06,false_animate
185,185,The test that was in the talented programmer's interview this morning annoyed the head of the team.,What annoyed the team leader?,test,programmer,"The test that was in the talented programmer's interview this morning annoyed the head of the team. Therefore, the team leader was annoyed by the ",,1,8.657564194436418e-07,9.40894733503228e-06,false_animate
187,187,This is the test that this morning in the interview of the talented programmer annoyed the head of the team.,What annoyed the team leader?,test,programmer,"This is the test that this morning in the interview of the talented programmer annoyed the head of the team. Therefore, the team leader was annoyed by the ",,1,5.853389097865147e-07,6.2959338720247615e-06,false_animate
189,189,The pot that was in the care of the devoted boy this year grew quite impressively.,What grew impressively?,pot,boy,"The pot that was in the care of the devoted boy this year grew quite impressively. Therefore, what that grew impressively is the ",,1,1.3259094885142986e-05,7.982382044247061e-07,false_animate
191,191,This is the pot that this year under the care of the devoted boy has grown quite impressively.,What has grown impressively?,pot,boy,"This is the pot that this year under the care of the devoted boy has grown quite impressively. Therefore, what that has grown impressively is the ",,1,1.2357211744529197e-05,7.782963393765385e-07,false_animate
193,193,The speaker that was at the Italian composer's celebration tonight played the favorite song.,What played the favorite song?,speaker,composer,"The speaker that was at the Italian composer's celebration tonight played the favorite song. Therefore, the favorite song played by the ",,1,8.492626875522546e-06,8.059585638875433e-07,false_animate
195,195,This is the speaker that tonight at the celebration of the Italian composer played the favorite song.,What played the favorite song?,speaker,composer,"This is the speaker that tonight at the celebration of the Italian composer played the favorite song. Therefore, the favorite song played by the ",,1,8.115419404930435e-06,7.84214421400975e-07,false_animate
197,197,The magazine that was in the kind teacher's class yesterday fell off the high round table.,What fell off the table?,magazine,teacher,"The magazine that was in the kind teacher's class yesterday fell off the high round table. Therefore, what that fell off the table is the ",,1,4.1986731957877055e-05,1.994824287976371e-06,false_animate
